Star Name,Description,Location,History
Canis Minor,Lesser Dog,"The constellation Canis Minor, the little dog, is visible in the northern hemisphere from December until April. It is can be seen at latitudes between 90 degrees and -75 degrees. It is a small constellation covering an area of only 183 square degrees. This ranks it 71st in size among the 88 constellations in the night sky. It is bordered by Monoceros to the south, Gemini to the north, Cancer to the northeast, and Hydra to the east.","Canis Minor is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. Its name means “lesser dog” in Latin. It represents the smaller of Orion's two hunting dogs along with its larger neighbor, Canis Major. In another legend, this constellation represents Maere, the dog of the wine-maker Icarius, who was killed by his friends after they mistakenly thought that Icarius was trying to poison them. Canis Minor was sometimes associated with the Teumessian Fox, the beast that could not be outrun. Zeus turned the fox to stone along with its hunter, the dog Laelaps. Zeus then placed the two of them in the heavens as Canis Minor and Canis Major. Canis Minor is usually depicted on charts as a small dog standing on the back of Monoceros, the unicorn."
Capricornus,Sea Goat,"The constellation Capricornus, the sea goat, can be seen in the northern hemisphere in early autumn. It is visible between latitudes of 60 degrees and -90 degrees. It is a medium-sized constellation, occupying 414 square degrees of the sky. This ranks it 40th in size among the 88 constellations in the night sky. It is bordered by Aquila, Sagittarius, Microscopium, Piscis Austrinus, and Aquarius. It is one of the 13 constellations of the zodiac. This means that it lies along the path the Sun travels in the sky during the year.","Capricornus is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. Its name means “the goat” in Latin, and it is represented as a goat with the tail of a fish. This ancient constellation has been known since Babylonian and Sumerian times. The Sumerians knew it as the goat-fish. It marked the winter solstice during the early Bronze Age. The ancient Greeks associated the constellation with Amalthea, the goat that sucked the baby Zeus from his mother, Rhea, and saved him from being eaten by his father, Cronos. It was also sometimes associated with Pan, the god with a goat’s head who saved himself from the monster Typhon by growing a fish tail and jumping into a river."
Carina,Keel,"The constellation Carina, the keel, is located in the southern hemisphere of the sky. It is visible at latitudes south of 15 degrees and is completely below the horizon for latitudes north of 39 degrees. It is a medium-sized constellation occupying an area of 494 square degrees. It ranks 34th in size among the 88 constellations in the night sky. It is bordered by the constellations Centaurus, Chamaeleon, Musca, Pictor, Puppis, Vela, and Volans.","Carina was once part of a larger constellation called Argo Navis. This larger constellation represented the great ship of Jason and the Argonauts on their voyage to find the golden fleece. Argo Navis was one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. This constellation was later divided by the French astronomer Nicolas Louis de Lacaille into three smaller parts. Carina became the Keel, Puppis the Stern, and Vela the Sails. These three smaller constellations were added to the official list of modern constellations in the early 20th century by the International Astronomical Union (IAU)."
Cassiopeia,Seated Queen,"The constellation Cassiopeia, Queen of Ethiopia, can be seen in the northern hemisphere all year long. It is visible at latitudes between 90 degrees and -20 degrees. Since it is located close to the north celestial pole, it is completely below the horizon for anyone located south of -20 degrees. It is a mid-sized constellation occupying 598 square degrees. This makes it the 25th largest constellation in the night sky. It is bordered by Andromeda to the south, Perseus to the southeast, and Cepheus to the north.","Cassiopeia was the wife of Cepheus and mother of Andromeda. She is represented as being chained to her throne in the heavens as punishment for her boast of being more beautiful than all the Nereids. As punishment, the god Poseidon placed Cassiopeia and Cepheus in the sky. Cassiopeia was condemned to circle the celestial pole forever. As the stars rotate throughout the night, Cassiopeia can sometimes be seen hanging upside down as punishment for her vanity."
Centaurus,Centaur,"The constellation Centaurus, the centaur, is located in the southern hemisphere of the sky. It is visible at latitudes between 25 degrees and -90 degrees. It is a large constellation that covers an area of 1,060 square degrees. This makes it the ninth largest constellation in the night sky. It is bordered by the constellations Antlia, Carina, Circinus, Crux, Hydra, Libra, Lupus, Musca, and Vela.","Centaurus is one of the 48 constellations first identified by the second century Greek astronomer Ptolemy. It represents a centaur, a half man half horse creature from Greek mythology. It is an old constellation that dates back to the ancient Babylonians. They knew it as the Bison-man. It was depicted as a four-legged bison with the head of a man. The ancient Greeks identified it as a centaur, but it is not clear exactly which centaur it represents. It may represent Chiron who was accidentally wounded by Hercules. After his death, Hercules honored him by giving him a place in the stars. Under a dark sky, the outline of the constellation does indeed resemble a centaur. It is usually depicted as a centaur sacrificing an animal which is represented by the constellation Lupus, the wolf."
Cepheus,King,"The constellation Cepheus, the king, is visible all year in the northern hemisphere. It can be seen between latitudes of 90 degrees and -10 degrees. It is a medium-sized constellation with a total area of 588 square degrees. This makes is the 27th largest constellation in the night sky. It is bordered by the constellations Camelopardalis, Cassiopeia, Cygnus, Draco, Lacerta, and Ursa Minor.","Cepheus is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. It was named after the king of Ethiopia. Cepheus was the husband of Cassiopeia and the father of Andromeda. All three are immortalized in the night sky as constellations. It is said that Zeus placed him among the stars after his death because he was descended from the nymph Io, who was one of Zeus’ favorites. Cepheus is usually depicted as a robed king with a crown of stars. He stands with his left foot placed over the pole and his scepter extended towards his queen, Cassiopeia."
Cetus,Sea Monster,"The constellation Cetus, the sea monster, can be seen in the northern hemisphere in the late fall and early winter. It is visible at latitudes between 70 degrees and -90 degrees. It is a very large constellation, occupying a total area of 1,231 square degrees. It is actually the 4th largest constellation in the night sky. It lies in a region of the sky called the Water. Other water-related constellations in this area include Eridanus (the river), Aquarius (the water bearer), and Pisces (the fish).","Cetus is one of the constellations cataloged by the Greek astronomer Ptolemy in the second century. It was named after the sea monster sent by the god Neptune to devour Andromeda in Greek mythology. Andromeda was chained to a rock as a sacrifice to the monster. Cetus was turned to stone when Perseus showed the monster the head of the gorgon Medusa. Today, this constellation is also sometimes identified as a whale. To some, it represents the whale that swallowed Jonah in the famous Bible story."
Chamaeleon,Chameleon,"The constellation Chamaeleon, the chameleon, is located in the southern hemisphere of the sky. It is only visible in southern latitudes south of 0 degrees. It is a circumpolar constellation, meaning that it is visible all night as it rotates around the south celestial pole. With a total area of only 132 square degrees, it is one of the smallest constellations in the night sky. It ranks 79th in size among the 88 constellations. It is bordered by the constellations Apus, Carina, Mensa, Musca, Octans, and Volans. Only those with vivid imaginations can make a lizard out of the dim stars in this constellation.","There is no mythology associated with the Chameleon. The constellation is located so far south that it was not visible to the ancient Greeks or Romans. It represents a chameleon, a type of lizard with the ability to change colors. It is one of twelve constellations created by the Dutch astronomer Petrus Plancius based on observations made by Dutch navigators. It first appeared on a celestial globe published by Plancius in 1597. It was later included Johann Bayer’s star atlas in 1603. It was depicted as a chameleon sticking its tongue out to catch the fly represented by the neighboring constellation Musca."
Circinus,Compass,"The constellation Circinus, the drawing compass, is located in the southern hemisphere of the sky. It is visible at latitudes south of 30 degrees from March through May. It is the fourth smallest constellation in the night sky, covering an area of only 93 square degrees. It is bordered by the constellations Centaurus, Musca, Apus, Triangulum Australe, Norma and Lupus.","There is no mythology associated with Circinus. It is one of the 14 southern constellations named by French astronomer Abbé Nicolas Louis de Lacaille after his trip to the Cape of Good Hope in South Africa in 1756. Its name means “the compass” in Latin. It was named for its shape, which resembles a drawing compass. Lacaille originally named it Le Compass and placed it next to Triangulum Australe and Norma, which he depicted as a surveyor's level, a compass, and a set square and ruler in a set of draftsman's instruments. It was given the name Circinus in 1763 when Lacaille published an updated sky map with Latin names for the constellations."
Columba,Dove,"The constellation Columba, the dove, is located in the southern hemisphere of the sky. it is best seen in northern latitudes during February. It is visible at latitudes between 45 degrees and -90 degrees. It is a small constellation, covering an area of 270 square degrees. It is bordered by the constellations Caelum, Canis Major, Lepus, Pictor, and Puppis.","There is no mythology associated with Columba. It is one of 12 fairly recent constellations named by the Dutch astronomer Petrus Plancius based on observations by Dutch navigators. Plancius included it on his celestial globe in 1592. Plancius originally named the constellation Columba Noachi, which means Noah’s dove. It refers to the dove that brought an olive branch to Noah to show that the great flood was receding. In some other interpretations, the dove represents the bird the Argonauts sent out ahead to help them navigate the narrow passage at the mouth of the Black Sea. The German astronomer Johann Bayer included this constellation in his star atlas in 1603 and the name was eventually shortened to Columba."
Coma Berenices,Berenice's Hair,"The constellation Coma Berenices, Berenice's hair, is visible in the northern hemisphere in spring and summer. It is visible at latitudes between 90 degrees and -70 degrees. It is a medium-sized constellation occupying 386 degrees of the sky. It ranks 42nd in size among the 88 constellations in the night sky. It is bordered by the constellations Boötes, Canes Venatici, Leo, Ursa Major, and Virgo.","Coma Berenices was original considered part of the constellation Leo by the second century Greek astronomer Ptolemy. It originally represented the tuft at the end of the Lion’s tail. It remained there until the 16th century when the cartographer Caspar Vopel separated the stars out into a new constellation. The Danish astronomer Tycho Brahe included Coma Berenices in his star catalog which was published in 1602. It was named after Queen Berenice II, the wife of Ptolemy III of Egypt, whose beautiful long hair was given to Aphrodite as a gift. Aphrodite was so pleased by this gift that she placed it in the night sky. To this day the constellation is known as Berenice’s Hair."
Corona Australis,Southern Crown,"The constellation Corona Australis, the southern crown, is located in the southern hemisphere of the sky. Known as the Southern Crown, it is visible from latitudes south of 44 degrees from May through July. It can best be seen in the northern hemisphere in August, although it is completely below the horizon at latitudes north of 50 degrees. It is a small constellation occupying 128 square degrees of the sky. It ranks 80th in size among the 88 constellations in the night sky. It is bordered by Sagittarius to the north, Scorpius to the west, Telescopium to the south, and Ara to the southwest.","Corona Australis is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. Its name means “southern crown” in Latin. It is an ancient constellation with roots in many cultures. It has been represented as a turtle, an ostrich nest, and even a tent. To the ancient Greeks, it represented a wreath. It was also seen as a circlet of stars near the feet of the centaur represented by the constellation Sagittarius. It is sometimes associated with the myth of Dionysus. In this myth, the stars represent the crown the god placed in the sky after freeing his mother Semele from Hades. This myth is also sometimes associated with Corona Borealis, the constellation of the Northern Crown."
Corona Borealis,Northern Crown,"The constellation Corona Borealis, the northern crown, is visible in the northern hemisphere in the spring and summer. It can be seen at latitudes between 90 degrees and -50 degrees. It is a small constellation covering 179 square degrees of the sky. It ranks 73rd in size among the 88 constellations in the night sky. It is bordered by Boötes to the north and west, Serpens Caput to the south, and Hercules to the east.","Corona Borealis is one of the 48 constellations listed by the Greek astronomer Ptolemy in the second century. Its name means “northern crown” in Latin. This is an ancient constellation that has its roots in many cultures. It has been depicted as a circle of elders, an eagle’s nest, and a bear’s den. In Celtic mythology, it was known as Caer Arianrhod, the Castle of Arianrhod. It represented the home of the Lady Arianrhod. In Greek mythology, it represented the crown that Ariadne, the daughter of King Minos of Crete, wore at her wedding. Her ball of thread helped Theseus defeat the Minotaur and find his way out of the labyrinth. Theseus gave her the crown when they married. The crown was created by the supreme goldsmith of the gods, Hephaestus."
Corvus,Crow,"The constellation Corvus, the crow, is located in the southern hemisphere of the sky. It is visible in the Northern Hemisphere from January until May and is completely visible at latitudes between 60 degrees and -90 degrees. It is a small constellation, covering an area of only 184 degrees. It ranks 70th in size among the 88 constellations in the night sky. It is bordered by Virgo to the north and east, Hydra to the south, and Crater to the west. The four brightest stars in this constellation form a square asterism known as the Sail, or the Spica’s Spanker, because two of the stars point the way to Spica, the brightest star in the constellation Virgo.","Corvus is one of the 48 constellations identified by the astronomer Ptolemy in the second century. Its name means “crow” in Latin. It is an ancient constellation that was known since the time of the Babylonians. They saw it as a raven, and it was sacred to Adad, the god of rain and storm. To the ancient Greeks, it was a crow sent by Apollo to fetch water. The raven wasted his time eating figs. After returning late, Apollo punished him by throwing him into the heavens. He was also condemned to endure eternal thirst. This is why the crow caws instead of singing like other birds."
Crater,Cup,"The constellation Crater, the cup, is located in the southern hemisphere of the sky. It can best be seen in the northern hemisphere in April and is completely visible at latitudes between 65 degrees and -90 degrees. It is a small constellation covering an area of 282 square degrees. It ranks 53rd in size among the 88 constellations in the night sky. It is bordered by the constellations Corvus, Hydra, Leo, Sextans, and Virgo. The shape of this constellation does indeed resemble a cup.","Crater is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. Its name means “the cup” in Latin. It represents the goblet of the Greek god Apollo and is usually depicted as a two-handed chalice. It is associated with the story of Apollo and his sacred bird, the crow, represented by the constellation Corvus. In the story, Apollo sends the crow to fetch some water with the cup. The crow gets distracted by a fig tree and spends a few days waiting for the figs to ripen. He finally brings the water-filled cup to Apollo along with a water snake as an excuse for being late. Apollo sees through his lies and in a fit of anger casts all three, the cup, the crow, and the snake, into the sky to become the constellations Crater, Corvus, and Hydra."
Crux,Southern Cross,"The constellation Crux, the southern cross, is a constellation in the southern hemisphere of the sky. It is only visible from latitudes south of 27 degrees. It is completely below the horizon in most parts of the northern hemisphere. It is the smallest constellation in the night sky with a total area of only 68 square degrees. It is bordered by the constellations Centaurus on the east, north and west, and Musca to the south. Crux is one of the most familiar constellations in the southern hemisphere. It is an easy constellation to identify, due to its obvious cross shape and bright stars. Since the southern hemisphere does not have a bright star near its pole, Crux was used by sailors as a navigational aid. They would draw a line using the stars in the cross in order to determine the location of the south celestial pole, which is actually located in the constellation Ocatans.","Crux was considered to be part of the constellation Centaurus by the Greek astronomer Ptolemy in the second century. The Greeks were able to see the celestial cross before it disappeared below the horizon due the procession of the Earth’s axis. Some linked the disappearance of the cross with the crucifixion of Christ. By the year 400, the stars were no longer visible from Europe. The Dutch astronomer Petrus Plancius was the first to separate the stars into their own constellation in 1592. The Southern Cross carried special significance for many cultures in the southern hemisphere. The ancient Inca knew the constellation as Chakana, which means “the stair”. The Mori called it Te Punga, which meant “the anchor.” To the ancient aboriginal people of Australia, it represented part of the head of the Emu in the Sky. It is represented on the Australian flag and on the flag of Brazil."
Cygnus,Swan,"The constellation Cygnus, the swan, can be seen in the northern hemisphere between June and October. It is visible between latitudes 90 degrees and -40 degrees. It is a large constellation that fills 804 square degrees of the sky. This makes it the 16th largest constellation in the night sky. It is bordered by Cepheus, Draco, Lyra, Vulpecula, Pegasus, and Lacerta. The stars in this constellation form a large cross that is sometimes referred to as the Northern Cross. Deneb, the brightest star in Cygnus, forms a large triangle with two other stars, Altair in Aquila and Vega in Lyra. This prominent formation of bright stars is known as the Summer Triangle.","Cygnus is one of the constellations cataloged by the Greek astronomer Ptolemy in the second century. The name means “the swan” in Latin. There are a number of mythological origins for this constellation. In one version, the swan is the musician Orpheus, who was killed by Achilles at the battle of troy. Upon his death, he was placed among the stars with his harp, Lyra. In another version, the swan was the pet of the Queen, Cassiopeia. In still another version, the god Zeus transformed himself into a swan to seduce the Spartan Queen Leda. She gave birth to the twins Castor and Pollux who are represented by the constellation Gemini."
Delphinus,Dolphin,"The constellation Delphinus, the dolphin, is visible in late summer from the Northern Hemisphere. It can be seen at latitudes between 90 degrees and -70 degrees. It is a small constellation, occupying an area of only 189 square degrees. This ranks it 69th in size among the 88 constellations in the night sky. This constellation is bordered by Aquarius, Aquila, Equuleus, Pegasus, Sagitta, and Vulpecula. It bears a remarkable resemblance to a dolphin leaping out of the water. Because of this shape, it is easy to recognize in the sky.","Delphinus is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the dolphin” in Latin. It is an old constellation with roots in many ancient cultures. The Chinese knew it as the Black Tortoise of the North. On the island of Pakapuka, it was called Te Toloa. The people of the Tuamotus islands called it Te Oru-o-tiki. In Greek mythology, it was believed to represent a dolphin that helped Poseidon locate the mermaid, Amphitrite, whom he wished to marry. As a reward, Poseidon placed the dolphin among the stars. In another version of the myth, the god Apollo placed the dolphin in the sky for saving the life of Arion, a musician from the island of Lesbos who was skilled with the Lyre. Apollo placed the dolphin next the constellation Lyra, which represented Arion’s Lyre."
