Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Albania,Import,110311,Cereal groats and meal; of wheat,2019, World,             95.26,165610,Kg
Cambodia,Import,110311,Cereal groats and meal; of wheat,2019, World,             91.22,88992,Kg
Indonesia,Import,110311,Cereal groats and meal; of wheat,2019, World,             83.11,53289,Kg
Armenia,Import,110311,Cereal groats and meal; of wheat,2019, World,             75.65,146447,Kg
Cyprus,Import,110311,Cereal groats and meal; of wheat,2019, World,             71.99,88350,Kg
"Gambia, The",Import,110311,Cereal groats and meal; of wheat,2019, World,             70.97,1.403e+006,Kg
Costa Rica,Import,110311,Cereal groats and meal; of wheat,2019, World,             67.04,85812,Kg
Japan,Import,110311,Cereal groats and meal; of wheat,2019, World,             65.10,80000,Kg
"Congo, Rep.",Import,110311,Cereal groats and meal; of wheat,2019, World,             63.89,78463,Kg
Sri Lanka,Import,110311,Cereal groats and meal; of wheat,2019, World,             62.90,146930,Kg
Ghana,Import,110311,Cereal groats and meal; of wheat,2019, World,             55.01,154359,Kg
Antigua and Barbuda,Import,110311,Cereal groats and meal; of wheat,2019, World,             53.07,17260.6,Kg
Malta,Import,110311,Cereal groats and meal; of wheat,2019, World,             47.80,66790,Kg
Cape Verde,Import,110311,Cereal groats and meal; of wheat,2019, World,             46.20,78214,Kg
Botswana,Import,110311,Cereal groats and meal; of wheat,2019, World,             39.71,33981,Kg
Aruba,Import,110311,Cereal groats and meal; of wheat,2019, World,             29.55,12110.8,Kg
Nepal,Import,110311,Cereal groats and meal; of wheat,2019, World,             28.16,72038,Kg
Iceland,Import,110311,Cereal groats and meal; of wheat,2019, World,             28.06,16313,Kg
Kenya,Import,110311,Cereal groats and meal; of wheat,2019, World,             27.54,72465,Kg
"Congo, Dem. Rep.",Import,110311,Cereal groats and meal; of wheat,2019, World,             26.04,43294,Kg
Grenada,Import,110311,Cereal groats and meal; of wheat,2019, World,             22.56,42044,Kg
Vietnam,Import,110311,Cereal groats and meal; of wheat,2019, World,             21.28,49160.5,Kg
Brunei,Import,110311,Cereal groats and meal; of wheat,2019, World,             17.27,13225,Kg
Malawi,Import,110311,Cereal groats and meal; of wheat,2019, World,             15.54,60950,Kg
Seychelles,Import,110311,Cereal groats and meal; of wheat,2019, World,             13.70,4223.86,Kg
Mozambique,Import,110311,Cereal groats and meal; of wheat,2019, World,             11.69,,
French Polynesia,Import,110311,Cereal groats and meal; of wheat,2019, World,              9.62,9027.75,Kg
Togo,Import,110311,Cereal groats and meal; of wheat,2019, World,              9.39,13366,Kg
Uganda,Import,110311,Cereal groats and meal; of wheat,2019, World,              8.72,27560,Kg
Bermuda,Import,110311,Cereal groats and meal; of wheat,2019, World,              7.85,12651.8,Kg
Belize,Import,110311,Cereal groats and meal; of wheat,2019, World,              6.28,3816.27,Kg
India,Import,110311,Cereal groats and meal; of wheat,2019, World,              6.05,6306,Kg
Morocco,Import,110311,Cereal groats and meal; of wheat,2019, World,              4.79,5306,Kg
Burkina Faso,Import,110311,Cereal groats and meal; of wheat,2019, World,              4.35,35431,Kg
Fiji,Import,110311,Cereal groats and meal; of wheat,2019, World,              3.99,4000,Kg
Barbados,Import,110311,Cereal groats and meal; of wheat,2019, World,              3.34,6975,Kg
Nicaragua,Import,110311,Cereal groats and meal; of wheat,2019, World,              2.00,578.17,Kg
Rwanda,Import,110311,Cereal groats and meal; of wheat,2019, World,              1.52,2074,Kg
Argentina,Import,110311,Cereal groats and meal; of wheat,2019, World,              1.49,1700,Kg
St. Lucia,Import,110311,Cereal groats and meal; of wheat,2019, World,              0.77,10,Kg
"Korea, Rep.",Import,110311,Cereal groats and meal; of wheat,2019, World,              0.69,1471.32,Kg
Burundi,Import,110311,Cereal groats and meal; of wheat,2019, World,              0.68,1915,Kg
Comoros,Import,110311,Cereal groats and meal; of wheat,2019, World,              0.36,750,Kg
Eswatini,Import,110311,Cereal groats and meal; of wheat,2019, World,              0.12,36,Kg
Honduras,Import,110311,Cereal groats and meal; of wheat,2019, World,              0.11,76.64,Kg
